,Unnamed: 0,KIC,Porb,Class,PACF,hACF,P1min,P1max,P2min,P2max,h1min,h1max,h2min,h2max,Note,KID,BJD,Per,Type,Kmag,Teff,log(g),E(B-V),Crowd,T2/T1,q,F,r1+r2,esinw,ecosw,sini,ecc,porb_prot
0,0,1026032,8.46,sp,10.932,0.588,10.778,11.162,,,0.06,0.078,,,,1026032.0,54699.7783,8.46145,D,14.813,5715,4.819,0.107,0.266,0.71051,,,0.09875,0.08985,0.08655,0.99628,0.1247554608023232,0.773874862788145
16,16,2162994,4.102,sp,4.066,0.324,4.054,4.108,4.195,,0.034,0.026,0.03,,,2162994.0,55002.54682,4.102,D,14.162,5410,4.532,0.099,0.189,0.84887,,,0.19607,-0.07089,0.02648,0.99799,0.07567418648389951,1.0088539104771275
21,21,2306740,10.307,sp,0.695,0.168,0.733,0.734,,,0.076,0.065,,,,2306740.0,54987.04215,10.30397,D,13.545,5647,4.228,0.117,0.241,0.83383,,,0.14294,-0.13547,0.0872,0.99882,0.16110853763845043,14.830215827338131
26,26,2309587,1.839,sp,1.839,1.036,,,,,,,,,,2309587.0,55001.8758,1.83907,D,13.925,5560,4.325,0.118,0.23,0.40244,,,0.28146,-0.04114,-0.00249,0.97246,0.041215284786108176,1.0
39,39,2445134,8.412,sp,8.153,0.174,,,,,,,,,,2445134.0,55006.30016,8.4104,D,13.551,5999,4.247,0.129,0.294,0.69141,,,0.09874,0.0588,0.07703,0.99414,0.09690748629491945,1.0317674475653134
42,42,2447893,0.662,sp,0.654,0.732,0.659,0.66,0.661,0.662,0.156,0.073,0.125,0.135,,2447893.0,55002.82864,0.66164,D,14.49,5059,4.447,0.101,0.516,0.98375,,,0.48475,0.09622,0.01489,0.95067,0.09736529412475474,1.0122324159021407
47,47,2557430,1.298,sp,1.308,0.405,,,,,,,,,,2557430.0,55002.48471,1.29777,D,11.471,6248,4.103,0.077,0.001,0.94675,,,0.31525,0.07068,0.00477,0.99167,0.07084077427583638,0.9923547400611621
53,53,2580872,15.927,sp,14.344,1.253,14.077,15.031,,,0.098,0.104,,,,2580872.0,54978.5516,15.9363,D,14.88,5293,4.471,0.124,0.226,0.54572,,,0.24312,-0.43533,0.37328,0.99086,0.5734545904428702,1.1103597322922476
59,59,2711114,2.859,sp,2.84,1.059,2.831,2.85,,,0.08,0.136,,,,2711114.0,55001.50339,2.8607,D,12.335,6281,4.214,0.098,0.465,0.99774,,,0.05998,-0.39049,0.3742,0.81211,0.5408401613231029,1.0066901408450704
63,63,2719873,17.279,sp,28.096,0.5,26.204,29.867,,,0.045,0.042,,,,2719873.0,54968.27734,17.2795,D,15.16,5086,4.625,0.109,0.298,0.73573,,,0.06335,0.41256,0.03735,0.99375,0.41424724030462773,0.6149985763097949
68,68,2852560,11.961,sp,7.581,0.432,7.152,7.629,9.763,10.844,0.015,0.021,0.015,0.018,,2852560.0,54964.91675,11.96107,D,15.308,5381,4.975,0.093,0.361,0.91149,,,0.0686,0.1715,0.3181,0.9971,0.36138602629321465,1.5777601899485556
72,72,2860788,5.26,sp,5.088,1.275,4.996,5.08,5.289,,0.104,0.059,0.189,,,2860788.0,54965.0683,5.25896,D,14.043,5319,4.383,0.105,0.441,0.97025,,,0.11818,-0.43924,0.45157,0.98998,0.6299581275767462,1.0338050314465408
80,80,2997455,1.13,sp,1.124,0.652,1.127,1.131,,,0.062,0.084,,,,2997455.0,54973.82665,1.12995,D,13.8,4795,3.167,0.209,0.143,0.73672,,,0.28566,-0.25669,0.40472,0.99612,0.4792577954504236,1.0053380782918147
82,82,3003991,7.245,sp,9.563,0.493,,,,,,,,,,3003991.0,54964.857,7.24458,D,13.926,5366,4.657,0.08,0.699,0.71687,,,0.07689,-0.00133,-0.30615,0.99599,0.306152888929698,0.7576074453623339
86,86,3102024,13.783,sp,4.884,0.803,,,,,,,,,,3102024.0,54958.69922,13.78211,D,12.809,5117,4.592,0.047,0.163,0.78541,,,0.09399,0.08563,0.11524,0.99703,0.143571426474769,2.822072072072072
90,90,3115480,3.694,sp,3.617,1.198,,,,,,,,,,3115480.0,54968.19531,3.69336,D,14.469,5961,4.737,0.111,0.072,0.5767,,,0.11899,-0.2022,0.46995,1.00134,0.5116032080626547,1.0212883605197678
92,92,3120320,10.266,sp,13.261,0.782,12.473,13.67,14.389,14.617,0.028,0.032,0.031,0.043,,3120320.0,54959.22266,10.2666,D,10.885,5676,4.497,0.033,0.015,0.77912,,,0.10367,0.16975,0.02828,0.99619,0.17208957231627953,0.7741497624613529
93,93,3122985,0.993,sp,1.471,1.416,1.453,1.465,1.497,1.504,0.02,0.043,0.092,0.056,,3122985.0,54971.56262,1.98734,D,14.701,5592,4.267,0.159,0.246,0.93091,,,0.11717,0.04428,0.30571,0.98015,0.3089001820977126,0.6750509857239972
97,97,3128793,24.679,sp,66.307,0.986,,,,,,,,,,3128793.0,54970.7868,24.74841,D,14.633,4371,4.466,0.062,0.186,1.04195,,,-0.00857,-0.57467,-0.54499,0.99008,0.7919972910307207,0.37219298113321364
103,103,3230787,17.734,sp,12.158,0.668,11.873,12.962,,,0.089,0.038,,,,3230787.0,54959.1875,35.464,D,12.553,5669,4.429,0.068,0.012,0.86394,,,0.03296,-0.00767,0.05014,0.99704,0.050723254035994175,1.4586280638262874
107,107,3241344,3.913,sp,3.944,1.066,3.937,3.951,,,0.165,0.101,,,,3241344.0,54966.4305,3.91246,D,14.756,5422,4.502,0.125,0.305,0.735,,,0.12341,-0.0828,0.41289,0.99769,0.4211104274415441,0.9921399594320487
108,108,3241619,1.703,sp,1.676,1.0,,,,,,,,,,3241619.0,54965.47266,1.70312,D,12.524,5165,4.654,0.041,0.012,0.74894,,,0.26379,0.11344,-0.00377,0.99455,0.11350262772288577,1.016109785202864
114,114,3335816,7.422,sp,8.153,0.967,,,,,,,,,,3335816.0,54954.35547,7.42188,D,12.084,6079,4.254,0.079,0.181,0.90115,,,0.08675,0.00629,0.40395,0.99782,0.40399896856303974,0.9103397522384398
116,116,3339538,14.658,sp,13.915,1.054,13.565,14.46,,,0.068,0.112,,,,3339538.0,54973.4805,14.65234,D,13.391,4955,4.177,0.082,0.015,0.72528,,,0.05376,0.37833,-0.40882,1.01197,0.5570165000249094,1.0533956162414662
125,125,3351945,1.081,sp,1.083,1.204,1.078,1.084,,,0.194,0.127,,,,3351945.0,55002.06413,1.08053,D,14.734,4744,4.222,0.114,0.184,0.37711,,,0.52027,-0.10236,0.32101,0.94728,0.33693469649176827,0.9981532779316713
128,128,3427776,4.017,sp,4.025,1.511,,,,,,,,,,3427776.0,55003.38967,4.01626,D,15.371,5292,4.441,0.131,0.224,0.44682,,,0.11911,-0.14311,0.39036,0.97885,0.41576604202363615,0.9980124223602485
138,138,3443790,1.666,sp,5.211,0.451,4.811,4.969,5.178,5.289,0.005,0.007,0.007,0.012,,3443790.0,55001.84708,1.66582,D,11.84,6024,4.337,0.066,0.022,0.58017,,,0.19308,-0.00395,0.06889,0.99702,0.06900314920349651,0.319708309345615
140,140,3449540,3.212,sp,3.188,0.373,3.234,3.244,,,0.032,0.06,0.016,0.016,,3449540.0,55002.42799,3.21065,D,14.194,6216,4.614,0.126,0.149,0.91383,,,0.19554,-0.06236,0.02586,0.99829,0.06750932676304809,1.0075282308657465
142,142,3458919,0.892,sp,0.899,0.576,0.889,0.896,,,0.077,0.049,,,,3458919.0,55002.28498,0.89205,D,13.815,5063,4.505,0.078,0.023,0.5952,,,0.21194,-0.43738,-0.45542,0.98055,0.6314337976383589,0.9922135706340378
146,146,3542573,6.943,sp,7.233,1.176,7.1,7.463,,,0.05,0.042,,,,3542573.0,54994.52292,6.94243,D,12.161,5741,4.094,0.084,0.008,0.95026,,,0.10316,0.06865,-0.03923,0.99484,0.07906842226831139,0.9599059864509886
147,147,3543270,4.177,sp,4.107,1.524,4.077,4.093,4.186,,0.308,0.256,0.164,,,3543270.0,55003.81095,4.18063,D,15.22,5288,4.79,0.102,0.146,0.90895,,,0.17109,-0.40481,0.44011,0.99604,0.5979698555947449,1.017044071098125
162,162,3656322,3.664,sp,3.617,1.247,,,,,,,,,,3656322.0,55004.02259,3.66362,D,13.061,5075,3.677,0.136,0.033,0.68634,,,0.27772,-0.5367,-0.4532,0.9795,0.7024508025477656,1.0129941940834946
163,163,3659940,0.896,sp,0.899,1.265,0.888,0.89,0.895,0.9,0.066,0.104,0.075,0.063,,3659940.0,54994.24358,0.89623,D,15.261,5344,4.49,0.146,0.405,0.64501,,,0.28874,-0.31831,0.48793,0.97339,0.5825778411508629,0.996662958843159
164,164,3662635,0.939,sp,0.94,0.956,0.929,0.935,0.938,0.944,0.045,0.075,0.038,0.043,,3662635.0,54965.0231,0.93917,D,14.904,5589,4.353,0.165,0.282,0.4098,,,0.42097,-0.24286,-0.36833,0.963,0.4411892660752299,0.9989361702127659
172,172,3749508,1.066,sp,1.063,1.435,1.062,1.066,,,0.091,0.249,,,,3749508.0,54965.57239,1.06556,D,13.151,5961,4.203,0.116,0.055,0.39777,,,0.33269,-0.2148,-0.37215,0.99526,0.4296913572554142,1.0028222013170274
182,182,3834364,2.908,sp,2.922,1.563,2.898,2.923,,,0.198,0.145,,,,3834364.0,54965.3125,2.90838,D,14.661,5449,4.5,0.109,0.481,0.86574,,,0.14981,0.07304,0.4182,1.00421,0.4245304248225326,0.9952087611225188
187,187,3848919,1.047,sp,1.042,0.747,1.04,1.043,1.047,1.048,0.053,0.06,0.11,0.049,,3848919.0,54964.7672,1.04717,D,13.901,5226,4.462,0.087,0.234,0.82477,,,0.45159,-0.05698,0.00893,0.9925,0.057675517336214684,1.0047984644913626
210,210,3955867,33.66,sp,33.225,1.52,,,,,,,,,,3955867.0,54994.6211,33.67,D,13.547,4706,3.266,0.171,0.146,0.61373,,,0.42742,0.11803,0.0202,0.92232,0.1197460684114514,1.0130925507900677
212,212,3957477,0.979,sp,0.981,0.882,0.969,0.972,0.998,0.999,0.062,0.108,0.026,0.033,,3957477.0,54964.72864,0.97882,D,12.477,5395,4.397,0.06,0.052,0.58212,,,0.51123,-0.07838,0.00382,0.95941,0.07847303231046956,0.9979612640163099
214,214,3965242,0.997,sp,1.001,1.163,0.992,0.994,0.996,1.0,0.167,0.077,0.064,0.073,,3965242.0,54964.9131,0.99741,D,14.06,5183,4.438,0.096,0.459,0.99737,,,0.58664,-0.36853,0.35554,0.93649,0.5120771938877966,0.9960039960039961
221,221,3973002,3.984,sp,3.964,0.491,3.932,4.088,,,0.088,0.033,,,,3973002.0,54967.8837,3.9843,D,14.985,5740,4.632,0.141,0.26,0.87737,,,0.14281,-0.02283,0.11456,0.98763,0.11681268124651535,1.0050454086781029
224,224,4035675,2.874,sp,2.861,0.484,,,,,,,,,,4035675.0,54965.58203,2.87393,D,12.702,5480,3.832,0.105,0.89,1.02949,,,-0.00069,-0.48833,-0.38121,0.9973,0.6195056521130377,1.0045438657811954
227,227,4037428,4.265,sp,4.271,1.359,4.189,4.317,,,0.047,0.082,,,,4037428.0,54968.19922,8.52538,D,12.873,5780,4.094,0.1,0.005,1.02685,,,0.37653,-0.3206,0.07213,1.00657,0.32861390247523004,0.9985951767735892
230,230,4044005,17.512,sp,11.831,0.815,11.552,12.811,13.821,14.179,0.039,0.03,0.017,0.014,,4044005.0,54954.7443,17.51172,D,12.336,,,,0.007,0.6833,,,0.2764,0.0344,-0.17927,0.99996,0.18254066094982785,1.480179190262869
231,231,4049124,4.804,sp,5.599,1.266,5.519,5.794,,,0.148,0.047,,,,4049124.0,54969.00616,4.8048,D,14.654,5349,4.56,0.104,0.471,0.69979,,,0.12059,0.05155,-0.06115,0.961,0.07997952863076901,0.8580103589926773
237,237,4069063,0.504,sp,0.511,0.217,,,,,,,,,,4069063.0,55002.71826,0.50428,D,13.318,5905,4.237,0.122,0.304,0.56,,,0.468,-0.18184,0.15985,0.99401,0.24211114823568122,0.9863013698630136
247,247,4078693,2.757,sp,2.554,0.379,2.808,2.826,,,0.04,0.118,0.072,0.072,,4078693.0,55001.84019,2.75369,D,13.485,5288,4.024,0.125,0.011,0.7666,,,0.04152,0.13948,-0.44128,0.99794,0.4627987778721979,1.0794831636648397
257,257,4174507,3.892,sp,3.944,1.139,3.921,3.962,,,0.252,0.236,,,,4174507.0,55001.10126,3.89648,D,15.439,5723,4.524,0.175,0.362,0.7559,,,0.08875,-0.41695,0.48624,0.99248,0.6405284069422682,0.986815415821501
264,264,4252226,21.859,sp,12.281,0.832,11.889,12.644,,,0.038,0.121,,,,4252226.0,54984.26123,21.8638,D,13.916,5650,3.903,0.153,0.012,0.57107,,,0.18784,-0.37475,-0.48872,0.99819,0.615861024014347,1.779903916619168
271,271,4285087,4.486,sp,4.516,0.6,4.524,4.573,4.639,4.747,0.056,0.031,0.041,0.032,,4285087.0,55002.33971,4.48531,D,12.785,5950,4.088,0.122,0.209,0.96382,,,0.14451,0.09448,-0.00379,0.99843,0.09455598606116906,0.9933569530558015
272,272,4346875,4.694,sp,4.924,1.431,4.759,4.867,5.094,,0.068,0.059,0.101,,,4346875.0,55004.31472,4.68919,D,15.584,5339,4.576,0.124,0.026,0.91083,,,0.13454,0.02279,0.38838,1.00124,0.3890480799335732,0.9532900081234768
274,274,4352168,10.644,sp,10.503,1.387,10.188,10.784,,,0.058,0.151,,,,4352168.0,54967.94141,10.64059,D,14.343,5115,4.539,0.085,0.054,0.67727,,,0.08723,0.07573,-0.16247,0.99742,0.17925270932401552,1.0134247357897743
275,275,4357272,2.086,sp,2.064,1.422,2.048,2.061,2.075,2.101,0.139,0.069,0.02,0.042,,4357272.0,54984.78247,2.08626,D,15.455,5117,4.377,0.137,0.093,0.89868,,,0.47989,-0.06158,-0.40994,0.81211,0.4145393829300179,1.010658914728682
276,276,4358206,0.951,sp,0.96,1.278,,,,,,,,,,4358206.0,55002.97213,0.95134,SD,14.038,,,,0.075,0.45406,,,0.60191,-0.25088,0.4256,0.98258,0.49404062019230766,0.990625
286,286,4380283,1.745,sp,1.737,0.671,1.733,1.736,,,0.253,0.118,,,,4380283.0,55002.54693,1.74474,D,14.742,5924,4.392,0.167,0.329,0.9169,,,0.29755,0.02104,0.00272,0.99484,0.02121508896988179,1.0046056419113414
298,298,4480676,1.424,sp,1.41,0.744,1.421,1.422,,,0.104,0.207,,,,4480676.0,55002.81968,0.71205,D,15.469,5296,4.382,0.168,0.285,0.53342,,,0.43142,-0.0011,-0.0075,0.99592,0.007580237463298891,1.0099290780141843
299,299,4484356,1.144,sp,1.144,0.883,,,,,,,,,,4484356.0,55002.78438,1.14416,D,14.235,5080,4.308,0.111,0.179,0.54244,,,0.36689,-0.31619,0.46588,0.9734,0.5630455492231512,1.0
300,300,4540632,31.005,sp,9.42,1.093,9.361,9.676,,,0.134,0.108,,,,4540632.0,54986.86,31.0162,D,14.991,4818,4.078,0.121,0.07,0.81507,,,0.0475,0.37504,-0.35041,0.99981,0.5132661782155532,3.2914012738853504
330,330,4678171,15.289,sp,23.376,0.315,20.287,25.667,33.718,36.607,0.017,0.01,0.006,0.02,,4678171.0,54965.8053,15.29025,D,15.993,4240,4.541,0.087,0.253,0.85945,,,0.04914,0.21799,0.03726,1.00239,0.22115141351571777,0.6540468856947296
335,335,4737267,9.524,sp,9.277,1.355,,,,,,,,,,4737267.0,55001.1725,9.51703,D,15.145,5156,4.236,0.141,0.007,0.89377,,,0.15445,-0.18175,-0.43203,0.99271,0.468703513321588,1.0266249865258166
342,342,4753988,7.304,sp,6.048,0.127,,,,,,,,,b,4753988.0,55004.50926,7.29769,D,14.989,5766,4.583,0.142,0.334,0.71049,,,0.0966,0.11535,0.04185,0.99501,0.12270715138083843,1.2076719576719577
343,343,4757331,2.362,sp,2.35,1.364,2.346,2.382,,,0.17,0.091,,,,4757331.0,55001.75062,2.3635,D,15.725,5092,4.525,0.144,0.253,0.69416,,,0.17174,-0.14828,-0.49427,0.98949,0.516032742468925,1.0051063829787235
347,347,4773155,25.706,sp,20.311,0.298,18.99,21.017,21.775,30.176,0.018,0.018,0.008,0.019,,4773155.0,54989.6406,25.70569,D,13.592,5447,4.485,0.09,0.207,0.78139,,,0.08292,0.0534,0.29333,0.99908,0.29815105047609675,1.265619614986953
351,351,4832197,1.895,sp,1.921,1.459,,,,,,,,,,4832197.0,54965.39184,1.89537,D,11.51,6039,4.182,0.069,0.014,0.95422,,,0.2663,-0.47581,0.34149,0.99738,0.5856710477734067,0.9864653826132223
352,352,4839180,8.853,sp,11.545,0.026,11.029,12.376,,,0.02,0.051,0.035,0.035,,4839180.0,54998.16423,8.84116,D,13.501,6033,4.287,0.124,0.023,0.81239,,,0.10034,0.08664,0.01796,0.99806,0.08848192583799247,0.7668254655695106
353,353,4840263,1.916,sp,1.9,0.822,1.883,1.892,1.911,1.923,0.128,0.07,0.022,0.03,,4840263.0,55002.76982,1.916,D,13.988,5725,4.142,0.145,0.111,0.55409,,,0.27598,-0.03983,0.01942,0.97803,0.04431213490681756,1.0084210526315789
355,355,4840818,10.05,sp,13.098,0.682,12.644,13.735,,,0.054,0.143,,,,4840818.0,54966.12073,10.04926,D,14.355,6113,4.449,0.145,0.031,0.8241,,,0.09231,0.10663,0.1808,0.99844,0.20990139804203306,0.7672927164452589
365,365,4862625,20.0,sp,2.616,0.907,,,,,,,,,,4862625.0,54967.8213,19.98435,D,13.718,6149,4.658,0.107,0.163,0.95325,,,0.01519,-0.27253,0.57817,0.99733,0.6391816250487806,7.6452599388379205
366,366,4902030,1.758,sp,1.757,0.607,1.738,1.759,,,0.05,0.129,,,,4902030.0,54995.14511,1.75757,D,15.929,4235,4.525,0.076,0.336,0.93414,,,0.19665,0.07178,0.15906,0.9985,0.17450630934152497,1.0005691519635744
367,367,4908495,3.12,sp,3.085,1.496,,,,,,,,,,4908495.0,54965.36719,3.12032,D,13.871,4731,4.449,0.06,0.045,1.00062,,,0.09177,-0.34234,-0.35775,1.00274,0.49515829600239963,1.0113452188006484
371,371,4912991,4.443,sp,4.209,1.21,4.14,4.228,4.297,4.354,0.027,0.031,0.072,0.043,,4912991.0,54971.05078,8.88672,D,11.297,6032,4.242,0.057,0.422,0.96604,,,0.03802,0.09576,0.04025,0.81211,0.10387511780980083,1.0555951532430505
374,374,4931073,26.951,sp,26.686,0.011,,,,,,,,,b,4931073.0,54956.9756,26.95107,D,11.957,6453,4.249,0.089,0.046,0.8146,,,0.04463,0.29949,-0.33576,1.0069,0.44992114609117895,1.0099303005321143
382,382,4940201,8.817,sp,10.646,0.467,10.296,11.049,,,0.081,0.039,,,,4940201.0,55002.52192,8.80437,D,14.984,5284,4.61,0.117,0.253,0.6843,,,0.08575,0.04157,-0.03394,0.9965,0.05366552431496407,0.8281983843697163
390,390,4947726,4.726,sp,4.495,1.025,4.401,4.607,,,0.029,0.03,,,,4947726.0,54965.9164,4.72754,D,15.181,5638,4.789,0.128,0.296,0.66817,,,0.14336,0.0487,0.09343,0.99384,0.10536059462626432,1.0513904338153504
391,391,4948863,8.644,sp,8.439,0.562,,,,,,,,,,4948863.0,54972.8291,8.64331,D,15.414,5490,4.745,0.136,0.48,0.76796,,,0.07106,0.16864,0.10525,1.00126,0.1987888631186365,1.024291977722479
394,394,4990977,2.649,sp,2.636,1.314,,,,,,,,,,4990977.0,55003.47334,2.64957,D,13.87,5597,4.345,0.1,0.001,0.90354,,,0.0998,-0.30661,-0.5424,0.99612,0.6230629599807711,1.0049317147192716
404,404,5016163,5.246,sp,5.149,0.253,5.213,5.324,,,0.044,0.037,0.015,0.015,,5016163.0,55001.57473,5.24521,D,15.768,6017,4.627,0.18,0.07,0.97942,,,0.1827,0.01489,0.00875,0.99876,0.01727062824566611,1.018838609438726
410,410,5022440,3.694,sp,3.821,1.309,3.603,3.734,4.0,4.136,0.016,0.022,0.045,0.042,,5022440.0,55003.56158,3.69554,D,15.286,5719,4.754,0.135,0.049,0.81515,,,0.10403,-0.30073,0.43501,0.97954,0.5288404608197069,0.9667626275844019
416,416,5025294,5.463,sp,3.433,1.013,,,,,,,,,,5025294.0,54967.2681,5.46261,D,13.266,5697,4.494,0.087,0.164,0.9488,,,0.11876,0.15087,0.39025,0.9987,0.41839791992790787,1.5913195455869502
418,418,5036538,2.122,sp,2.125,1.237,,,,,,,,,,5036538.0,55001.58623,2.12114,D,13.349,4199,4.438,0.032,0.402,0.5964,,,0.15713,-0.37615,0.47682,0.99925,0.6073270411401093,0.9985882352941176
420,420,5039441,2.151,sp,2.186,0.637,,,,,,,,,,5039441.0,54966.1119,2.15132,D,12.916,5943,4.192,0.118,0.051,0.6083,,,0.24627,0.0191,0.0058,0.99241,0.019961212388028938,0.9839890210430009
427,427,5080652,4.144,sp,4.536,0.852,4.693,4.75,,,0.333,0.112,,,,5080652.0,55001.34618,4.14608,D,15.08,5344,4.858,0.087,0.096,0.86723,,,0.1584,0.06581,-0.39252,0.99797,0.3979986262539106,0.9135802469135803
430,430,5091614,21.142,sp,21.128,0.52,20.101,22.33,,,0.028,0.044,,,,5091614.0,54971.3931,21.13917,D,14.083,5820,4.491,0.11,0.056,0.80175,,,0.0663,0.48046,0.04718,0.87373,0.48277092290236373,1.0006626277925028
451,451,5181455,5.58,sp,5.844,1.21,5.476,5.589,5.722,6.222,0.02,0.05,0.027,0.029,,5181455.0,54966.55469,5.58038,D,15.473,5875,4.428,0.167,0.116,0.83768,,,0.08805,0.03923,0.40272,0.97778,0.4046262365442953,0.9548254620123203
453,453,5193386,21.378,sp,25.767,1.228,25.554,27.349,,,0.418,0.14,,,,5193386.0,54980.2072,21.37126,D,13.998,4797,4.591,0.061,0.03,0.40252,,,0.19543,-0.20903,-0.38083,0.99687,0.4344249415031324,0.8296658516707417
461,461,5216727,1.513,sp,1.512,0.948,1.501,1.513,,,0.066,0.047,,,,5216727.0,55002.74669,1.51285,D,13.448,5932,4.201,0.138,0.132,0.55704,,,0.28542,-0.0721,-0.12908,0.95946,0.14785146735829172,1.0006613756613756
472,472,5269407,0.959,sp,0.96,0.603,0.95,0.954,0.957,0.963,0.032,0.041,0.019,0.018,,5269407.0,55002.08661,0.9588,D,14.164,5307,4.332,0.106,0.083,0.51059,,,0.44618,-0.00928,0.0285,0.98073,0.029972794330859445,0.9989583333333333
480,480,5288543,3.457,sp,3.372,0.053,3.453,3.465,,,0.024,0.009,0.012,0.012,,5288543.0,55002.84411,3.4572,D,13.585,,,,0.158,0.78083,,,0.21119,0.01232,0.02795,0.99537,0.030544801521699236,1.0252075919335706
485,485,5300878,1.279,sp,1.267,1.117,1.274,1.279,,,0.118,0.361,,,,5300878.0,55002.59529,1.2794,D,14.767,4631,4.106,0.127,0.488,0.95443,,,0.28858,0.06778,-0.00651,0.99649,0.06809191214821332,1.0094711917916337
492,492,5343976,4.331,sp,4.414,1.189,,,,,,,,,,5343976.0,55006.70748,4.33106,D,12.612,,,,0.012,0.87777,,,0.15586,0.23563,-0.38116,0.99717,0.44811208698271016,0.9811961939284097
