,Unnamed: 0,KIC,Porb,Class,PACF,hACF,P1min,P1max,P2min,P2max,h1min,h1max,h2min,h2max,Note,KID,BJD,Per,Type,Kmag,Teff,log(g),E(B-V),Crowd,T2/T1,q,F,r1+r2,esinw,ecosw,sini,ecc,porb_prot
964,964,7362852,7.037,sp,7.213,0.909,7.143,7.384,,,0.1,0.053,,,,7362852.0,55003.50449,7.04158,D,15.168,5961,4.624,0.141,0.039,0.95912,,,0.14629,0.09774,-0.00194,0.99922,0.09775925122462835,0.975599611812006
969,969,7369523,5.319,sp,5.19,0.397,,,,,,,,,,7369523.0,55003.56418,5.32298,D,14.905,5907,4.603,0.138,0.105,0.96097,,,0.16474,-0.01642,0.03379,0.99948,0.037568344387263065,1.0248554913294796
988,988,7449844,1.152,sp,1.389,1.268,,,,,,,,,,7449844.0,54965.1234,1.1519,D,13.63,6834,4.1,0.173,0.064,0.78795,,,0.26105,-0.51477,-0.46044,0.99266,0.6906469043585152,0.8293736501079912
1009,1009,7597703,9.218,sp,9.645,1.146,,,,,,,,,,7597703.0,54999.20675,9.20625,D,15.322,5713,4.867,0.109,0.117,0.8983,,,0.12974,-0.01163,-0.06404,0.99771,0.06508746807181856,0.9557283566614827
1018,1018,7624297,18.02,sp,18.431,0.614,,,,,,,,,,7624297.0,54981.6636,18.14275,D,14.928,5135,4.732,0.093,0.313,0.78026,,,0.06078,0.43334,0.21826,0.99609,0.48520200246907474,0.9777006130974987
1023,1023,7670485,8.468,sp,9.91,0.434,9.768,9.997,,,0.119,0.04,,,,7670485.0,54972.41229,8.46807,D,14.408,5623,4.577,0.1,0.023,0.91711,,,0.07369,0.03194,0.00943,0.99979,0.03330298034711008,0.8544904137235116
1025,1025,7671594,1.41,sp,1.41,1.555,,,,,,,,,,7671594.0,54965.3983,1.4105,D,15.815,3717,4.354,0.058,0.114,0.84932,,,0.08816,-0.23382,0.44764,0.99809,0.5050280804074165,1.0
1035,1035,7691527,4.8,sp,4.659,1.099,,,,,,,,,,7691527.0,55002.40305,4.8014,D,15.431,5354,4.593,0.134,0.129,0.74075,,,0.27909,-0.349,-0.44689,0.9709,0.5670199926810341,1.03026400515132
1036,1036,7695093,4.033,sp,3.985,0.766,,,,,,,,,,7695093.0,55002.57634,4.02993,D,13.861,5706,4.431,0.111,0.478,0.53745,,,0.14261,-0.16861,-0.43277,0.99096,0.4644558159825324,1.0120451693851946
1050,1050,7750740,5.874,sp,5.967,1.223,5.932,6.159,,,0.125,0.064,,,,7750740.0,54967.3206,5.87312,D,14.857,5777,4.37,0.144,0.145,0.48207,,,0.08413,-0.19727,0.49792,0.99623,0.5355742519016388,0.9844142785319256
1063,1063,7798259,1.734,sp,1.737,1.086,1.721,1.74,,,0.075,0.061,,,,7798259.0,55005.7204,1.73423,D,15.726,4619,4.489,0.089,0.038,1.01523,,,0.07668,-0.30637,-0.37251,1.00285,0.4823134634239438,0.9982728842832469
1064,1064,7802136,10.98,sp,14.773,1.242,13.92,15.347,,,0.066,0.147,,,,7802136.0,54970.13605,11.03091,D,14.212,5712,4.464,0.1,0.112,0.68551,,,0.07319,-0.07416,-0.46313,0.99851,0.46902995906445033,0.7432478169633792
1065,1065,7811211,0.902,sp,0.899,1.238,0.901,0.903,,,0.184,0.318,,,,7811211.0,55002.71685,0.90224,D,14.596,5549,4.683,0.095,0.024,0.91542,,,0.4388,-0.50241,0.26843,0.99667,0.5696230973196225,1.003337041156841
1073,1073,7830321,2.027,sp,2.023,1.44,,,,,,,,,,7830321.0,55003.20162,2.02686,D,15.476,5347,4.299,0.166,0.045,0.60726,,,0.11879,-0.28463,0.47447,0.99637,0.5532955971268884,1.0019772614928324
1076,1076,7836330,0.658,sp,0.654,1.038,0.655,0.659,,,0.05,0.116,,,,7836330.0,55003.02845,1.31664,SD,14.201,5053,4.543,0.084,0.133,0.99942,,,0.44342,-0.00112,-0.00167,0.99632,0.0020107958623390887,1.0061162079510704
1079,1079,7838639,4.226,sp,4.209,1.126,4.147,4.228,4.239,4.356,0.038,0.033,0.025,0.025,,7838639.0,55003.34912,4.22464,D,13.774,5959,4.14,0.152,0.225,0.51757,,,0.09788,-0.15926,0.49218,0.98912,0.5173054223570442,1.0040389641244951
1084,1084,7846730,11.028,sp,14.957,0.084,13.713,14.179,22.884,30.651,0.016,0.04,0.02,0.011,,7846730.0,54969.96679,11.02893,D,12.956,,,,0.072,0.8068,,,0.12589,0.17634,0.00916,0.99729,0.17657774831501277,0.737313632412917
1092,1092,7885570,1.729,sp,1.716,1.278,1.704,1.706,1.73,1.737,0.044,0.077,0.267,0.089,,7885570.0,55001.83672,1.72925,D,11.679,5398,4.616,0.034,0.032,0.82332,,,0.52896,-0.40548,0.4014,0.98733,0.5705576135676396,1.0075757575757576
1093,1093,7886329,0.567,sp,0.572,0.339,,,,,,,,,,7886329.0,55002.44657,0.56745,D,13.205,6079,4.054,0.128,0.06,0.87196,,,0.402,0.11073,0.0034,0.9948,0.1107821867449817,0.9912587412587412
1099,1099,7919653,4.21,sp,4.189,1.009,4.179,4.285,,,0.127,0.043,,,,7919653.0,54999.35979,4.21057,D,13.796,5679,3.947,0.173,0.071,0.95197,,,0.17897,0.09317,-0.15719,0.99029,0.18272751571670864,1.005013129625209
1102,1102,7940533,3.906,sp,3.862,1.536,,,,,,,,,,7940533.0,55001.49071,3.90567,D,12.862,5326,4.555,0.053,0.017,1.05344,,,0.05584,-0.46525,0.05067,0.97823,0.4680010805543081,1.0113930605903676
1104,1104,7941635,0.763,sp,0.756,0.922,0.76,0.763,,,0.108,0.133,,,,7941635.0,55010.91574,0.76275,D,14.5,5131,4.358,0.095,0.042,0.68708,,,0.35228,-0.02082,0.00058,0.99604,0.02082807720362108,1.0092592592592593
1105,1105,7943535,4.719,sp,4.659,1.456,,,,,,,,,,7943535.0,55004.2715,4.71855,D,12.672,6516,4.123,0.107,0.026,0.86286,,,0.08314,-0.11386,0.49667,0.96063,0.5095539112792679,1.0128783000643915
1106,1106,7943602,14.692,sp,14.59,1.36,14.413,14.629,,,0.187,0.395,,,,7943602.0,54967.66949,14.69509,D,13.988,4889,3.399,0.142,0.015,1.08085,,,-0.01614,-0.71943,-0.07293,0.81211,0.7231170789021651,1.0069910897875258
1107,1107,7947631,2.517,sp,2.472,0.857,,,,,,,,,,7947631.0,54987.09155,2.51646,D,15.179,4823,4.46,0.097,0.119,0.54231,,,0.09677,-0.41213,-0.4092,0.81211,0.5807717080746961,1.0182038834951457
1108,1108,7950775,8.967,sp,8.173,1.056,7.98,8.239,,,0.078,0.081,,,,7950775.0,54953.64246,8.96619,D,13.478,6222,4.229,0.121,0.006,0.9741,,,0.06586,-0.51442,-0.25494,0.99606,0.574127459716046,1.0971491496390555
1113,1113,7960547,6.767,sp,6.947,0.87,,,,,,,,,,7960547.0,54968.2642,6.7673,D,14.143,5669,4.517,0.105,0.01,0.94428,,,0.07233,-0.11768,0.11814,1.00059,0.1667502383806392,0.9740895350511012
1114,1114,7967100,1.927,sp,1.941,1.199,1.915,1.927,2.04,2.058,0.036,0.096,0.035,0.014,,7967100.0,55001.98883,1.92809,D,13.943,5806,4.342,0.124,0.077,0.60011,,,0.2752,-0.4074,0.48448,0.98889,0.6330052372611146,0.9927872230808862
1116,1116,7970760,7.649,sp,8.316,0.164,,,,,,,,,,7970760.0,55011.01032,7.649,D,13.398,6172,4.397,0.114,0.035,0.68907,,,0.13647,0.06229,0.04397,0.99524,0.07624568840268936,0.9197931697931697
1117,1117,7971389,26.35,sp,12.035,1.001,11.738,12.491,,,0.042,0.125,,,,7971389.0,54969.46313,26.34888,D,14.098,5791,4.431,0.122,0.158,0.98957,,,0.11512,-0.56006,-0.08734,0.97076,0.5668293210482324,2.189447444952223
1122,1122,7985167,1.384,sp,1.369,0.889,1.368,1.372,1.385,1.388,0.033,0.078,0.07,0.151,,7985167.0,54968.0463,1.38434,D,12.958,5923,4.13,0.122,0.044,0.6089,,,0.31009,-0.02277,0.0063,0.9603,0.023625471423867925,1.0109569028487946
1123,1123,7987749,17.031,sp,17.409,0.797,17.545,17.995,,,0.099,0.117,,,,7987749.0,54978.5397,17.03215,D,14.461,5349,4.201,0.149,0.085,0.69497,,,0.04167,0.32316,-0.47003,1.0085,0.5704038801586118,0.9782870928829915
1125,1125,8008128,14.854,sp,9.093,0.664,8.662,9.912,10.29,11.277,0.019,0.023,0.012,0.006,,8008128.0,54999.27007,14.85488,D,14.558,5956,4.445,0.114,0.015,0.77238,,,0.07086,0.0897,0.20649,0.99956,0.22513153954965973,1.6335642802155503
1129,1129,8016214,3.175,sp,3.106,1.258,,,,,,,,,,8016214.0,54966.72206,3.17641,D,14.364,5657,4.9,0.076,0.568,0.84817,,,0.20487,-0.28952,-0.43813,0.81211,0.5251473386583998,1.0222150676110753
1130,1130,8019043,1.986,sp,1.982,0.916,1.963,1.989,2.011,2.034,0.009,0.029,0.032,0.018,,8019043.0,54965.93814,1.98551,D,11.427,6396,3.998,0.085,0.005,0.55607,,,0.233,0.01601,0.03462,0.97206,0.0381426860616816,1.002018163471241
1144,1144,8075618,17.561,sp,7.928,1.487,7.9,8.12,,,0.194,0.064,,,,8075618.0,54970.9283,17.5598,D,15.674,5288,4.621,0.107,0.089,0.84292,,,-0.01383,-0.66797,-0.16865,1.00518,0.6889315955884154,2.215060544904137
1146,1146,8081482,2.819,sp,2.779,1.269,2.745,2.775,2.812,2.895,0.059,0.036,0.039,0.021,,8081482.0,54995.0609,2.81899,D,14.569,5522,4.333,0.114,0.062,0.4745,,,0.33595,-0.04164,-0.36578,0.94334,0.36814249686772105,1.0143936667866138
1148,1148,8088354,2.898,sp,2.943,0.591,2.876,2.968,2.991,3.026,0.073,0.072,0.063,0.039,,8088354.0,54965.6045,2.8979,D,13.648,6073,4.368,0.11,0.431,0.67001,,,0.13045,-0.14872,0.43571,0.99491,0.46039205303740854,0.9847094801223242
1149,1149,8094140,0.706,sp,0.715,0.894,0.705,0.707,,,0.126,0.159,,,,8094140.0,54973.6255,0.70639,D,15.159,4200,4.557,0.056,0.293,0.84196,,,0.21949,-0.42981,-0.35566,0.99562,0.5578805174049368,0.9874125874125874
1150,1150,8095099,4.206,sp,4.148,0.842,4.134,4.179,,,0.19,0.086,,,,8095099.0,54970.0753,4.20698,D,14.169,5834,4.468,0.114,0.73,0.6308,,,0.22186,-0.1211,-0.06995,0.99413,0.1398506792975994,1.013982642237223
1152,1152,8097825,2.937,sp,2.902,1.194,2.872,2.879,2.937,2.957,0.179,0.055,0.086,0.072,,8097825.0,54966.6379,2.93643,D,13.283,5329,4.281,0.085,0.103,0.78524,,,0.21346,-0.33328,-0.39206,0.98703,0.5145741948446307,1.0120606478290832
1154,1154,8098300,4.306,sp,4.025,0.219,4.306,4.332,,,0.017,0.035,0.018,0.018,,8098300.0,54965.3492,4.30571,D,12.817,6275,4.505,0.086,0.036,0.88379,,,0.17554,0.0274,0.03135,0.99783,0.04163631227666543,1.0698136645962733
1160,1160,8111622,15.446,sp,6.743,0.922,6.56,6.973,,,0.028,0.042,,,,8111622.0,54978.5305,15.44965,D,15.488,5603,4.541,0.159,0.315,0.6906,,,0.46949,-0.15204,0.21926,0.92373,0.26681662092156105,2.290671807800682
1162,1162,8112324,0.576,sp,0.572,0.677,,,,,,,,,,8112324.0,54964.926,0.57584,SD,14.563,5257,4.356,0.123,0.025,0.36008,,,0.51589,0.22944,0.04507,0.94133,0.23382476023723409,1.006993006993007
1166,1166,8128965,7.14,sp,7.234,0.926,7.155,7.394,,,0.063,0.061,,,,8128965.0,54971.00806,7.13977,D,13.232,5683,4.17,0.12,0.243,0.53583,,,0.16851,-0.02897,0.06192,0.99415,0.06836188484821056,0.9870058059165053
1171,1171,8145789,1.671,sp,1.655,0.933,1.667,1.671,,,0.135,0.123,,,,8145789.0,55000.04151,1.6707,D,15.314,4829,4.238,0.11,0.28,0.94678,,,0.2294,0.15667,-0.01105,0.98121,0.1570591971200668,1.0096676737160122
1173,1173,8155368,0.719,sp,0.715,0.381,0.716,0.72,,,0.026,0.039,,,,8155368.0,54967.04876,0.71868,SD,15.121,5525,4.493,0.123,0.106,0.86667,,,0.46432,0.09717,0.00018,0.99876,0.09717016671797987,1.0055944055944055
1179,1179,8179747,17.946,sp,15.162,1.055,14.954,16.168,,,0.083,0.061,,,,8179747.0,54969.9458,17.94902,D,14.933,5040,4.178,0.146,0.205,0.85194,,,-0.01595,-0.50911,0.36974,0.98252,0.6292063729016101,1.183616937079541
1186,1186,8195877,1.51,sp,1.512,1.522,1.487,1.49,1.51,1.523,0.091,0.256,0.023,0.033,,8195877.0,54965.71643,1.50999,D,13.441,5821,4.207,0.131,0.155,0.8256,,,0.24926,-0.45012,0.43465,0.97569,0.6257224919243354,0.9986772486772487
1199,1199,8229048,5.479,sp,5.824,0.191,6.256,6.388,,,0.027,0.009,0.01,0.01,,8229048.0,54970.40881,5.47911,D,13.636,6253,4.481,0.109,0.148,0.70306,,,0.10085,0.07709,0.047,0.9904,0.09028769628249467,0.9407623626373627
1200,1200,8230809,4.078,sp,4.025,1.164,,,,,,,,,,8230809.0,54973.32061,8.15833,D,14.936,5618,4.482,0.13,0.374,1.02552,,,0.02924,-0.57009,0.08673,0.99845,0.5766495478191238,1.013167701863354
1201,1201,8231877,2.616,sp,2.616,0.823,2.614,2.62,,,0.108,0.115,,,,8231877.0,54975.2383,2.61575,D,14.932,4956,4.384,0.109,0.035,0.94034,,,0.14517,0.17529,-0.0082,0.98915,0.17548169163761784,1.0
1208,1208,8242681,4.021,sp,3.964,1.205,3.933,3.979,,,0.219,0.082,,,,8242681.0,54966.64,4.02004,SD,15.472,5961,4.481,0.176,0.244,0.91088,,,0.30985,0.246,0.02513,0.99364,0.24728023960680723,1.0143794147325933
1221,1221,8279765,2.758,sp,2.738,1.562,2.732,2.755,,,0.219,0.456,,,,8279765.0,54965.47333,2.75783,D,15.235,5464,4.509,0.112,0.023,1.06257,,,0.04132,-0.72968,0.40284,0.99691,0.8334944318950187,1.0073046018991965
1223,1223,8285254,7.536,sp,7.479,1.428,7.419,7.527,,,0.195,0.23,,,,8285254.0,54970.78589,7.53524,D,15.398,4888,4.734,0.083,0.126,0.52571,,,0.23728,-0.00239,0.36962,1.01972,0.36962772690911594,1.0076213397513036
1227,1227,8288719,1.51,sp,1.512,1.284,1.509,1.512,,,0.393,0.193,,,,8288719.0,54972.7444,1.51007,D,13.276,5090,4.357,0.068,0.076,0.94438,,,0.22038,-0.08193,-0.32344,0.99843,0.33365544877912606,0.9986772486772487
1230,1230,8296467,10.303,sp,9.297,0.85,9.242,9.477,,,0.094,0.107,,,,8296467.0,54970.17175,10.3035,D,15.177,5316,4.433,0.128,0.115,0.79478,,,0.08689,0.06362,0.08721,1.00062,0.1079494719764761,1.1082069484780037
1232,1232,8301013,4.428,sp,4.352,0.371,4.245,4.314,,,0.01,0.012,0.008,0.008,,8301013.0,54966.1684,4.42786,D,13.3,6479,4.177,0.136,0.008,0.93853,,,0.17039,0.00924,0.03477,0.99903,0.03597680502768416,1.0174632352941175
1233,1233,8302455,4.884,sp,4.924,0.881,,,,,,,,,,8302455.0,54987.1094,4.88329,D,11.535,5797,3.867,0.086,0.002,0.75715,,,0.19502,-0.5593,0.47148,0.97991,0.7315120507551466,0.991876523151909
1236,1236,8312222,12.823,sp,12.873,0.387,12.82,13.187,,,0.047,0.149,,,,8312222.0,54969.1766,12.8266,D,15.626,5726,4.57,0.166,0.021,0.86976,,,0.04551,-0.3001,-0.39822,0.99793,0.4986373215073256,0.9961159014992621
1239,1239,8316503,5.065,sp,4.986,0.187,5.066,5.158,,,0.045,0.026,0.005,0.005,,8316503.0,54967.98199,5.06457,D,13.955,6103,4.238,0.154,0.506,0.63679,,,0.16041,0.03622,0.07741,0.99318,0.08546459208350556,1.0158443642198156
1244,1244,8345358,9.381,sp,11.872,1.192,11.905,12.078,,,0.242,0.108,,,,8345358.0,55003.08302,9.38058,D,15.435,5656,4.663,0.112,0.055,0.75574,,,0.09917,0.16693,-0.02787,0.99953,0.16924054419671428,0.7901785714285715
1247,1247,8364119,7.736,sp,9.032,1.236,8.954,9.175,,,0.15,0.082,,,,8364119.0,54970.99029,7.73539,D,12.408,5443,4.713,0.042,0.151,0.88278,,,0.08788,0.05304,0.16655,1.00042,0.17479171633690196,0.8565101860053144
1248,1248,8364969,22.572,sp,8.01,1.281,7.672,8.027,8.936,9.184,0.068,0.045,0.053,0.017,,8364969.0,54978.0279,22.57369,D,15.45,5431,4.415,0.146,0.275,0.86443,,,0.02115,-0.46027,-0.29492,1.00475,0.5466500519528009,2.8179775280898878
1250,1250,8374499,5.252,sp,5.619,0.407,6.044,6.269,,,0.052,0.02,0.007,0.007,,8374499.0,54969.743,5.2534,D,14.912,5871,4.69,0.128,0.327,0.65477,,,0.16249,0.03887,0.03634,0.99592,0.05321158238579266,0.9346858871685353
1254,1254,8379547,6.042,sp,6.028,1.228,,,,,,,,,,8379547.0,54959.1632,6.04241,D,13.373,4861,3.871,0.111,0.046,0.8516,,,0.14407,-0.18228,0.39529,0.99492,0.4352932143969166,1.002322495023225
1262,1262,8411947,1.798,sp,1.778,0.343,1.767,1.807,,,0.055,0.075,,,,8411947.0,55003.7853,1.79768,D,15.3,5086,4.516,0.101,0.153,0.91656,,,0.20149,-0.29844,0.40347,1.00377,0.5018510481208542,1.0112485939257594
1265,1265,8415863,27.534,sp,27.647,1.236,,,,,,,,,,8415863.0,54980.2344,27.53255,D,12.921,,,,0.008,0.80726,,,0.0608,0.51518,0.08558,0.99733,0.5222397617952887,0.9959127572611857
1269,1269,8429817,6.263,sp,5.824,1.175,5.667,5.858,6.276,6.356,0.036,0.115,0.036,0.012,,8429817.0,54974.15924,6.26479,D,13.952,5971,4.248,0.132,0.093,0.47558,,,0.46688,-0.05682,-0.28185,0.9958,0.28752032084706636,1.0753777472527473
1277,1277,8444552,1.178,sp,1.165,0.75,,,,,,,,,,8444552.0,54964.59723,1.17804,D,13.643,5388,4.486,0.085,0.08,0.97415,,,0.29139,0.02625,0.00503,0.96503,0.026727577518361065,1.0111587982832617
1283,1283,8458207,3.53,sp,3.617,1.432,3.616,3.702,,,0.059,0.062,,,,8458207.0,54996.01554,3.53004,D,13.924,5937,4.226,0.153,0.088,0.49449,,,0.16568,-0.24583,0.49322,0.98057,0.5510883389258023,0.9759469173348078
1284,1284,8460600,6.352,sp,8.582,1.479,,,,,,,,,,8460600.0,54967.20685,6.35149,D,14.933,4947,4.549,0.103,0.848,0.5249,,,0.10589,-0.16503,-0.47974,0.99356,0.507331615908175,0.7401538103006292
1286,1286,8479107,0.768,sp,0.776,0.879,0.765,0.767,,,0.114,0.318,,,,8479107.0,55002.43209,0.76761,D,14.952,5046,4.522,0.093,0.224,0.95124,,,0.19664,-0.33599,0.5181,0.99928,0.6175086154054856,0.9896907216494846
1287,1287,8479386,11.721,sp,11.443,0.174,11.922,12.801,,,0.01,0.008,0.012,0.012,,8479386.0,54997.15938,11.73739,D,13.955,5979,4.293,0.113,0.01,0.88019,,,0.11249,-0.0067,0.0289,1.00503,0.029666479400158017,1.024294328410382
1302,1302,8543278,7.549,sp,8.889,1.345,8.603,9.108,,,0.063,0.086,,,,8543278.0,54998.1978,7.5445,D,14.608,4950,4.749,0.065,0.3,0.41752,,,0.05495,-0.04423,0.47521,0.97628,0.4772639070786728,0.8492518843514457
1304,1304,8552540,1.062,sp,1.063,0.925,1.059,1.062,1.079,1.085,0.076,0.069,0.053,0.023,,8552540.0,55002.95834,1.06191,D,10.292,5749,4.439,0.028,0.004,0.72347,,,0.41229,-0.02959,0.01508,0.9855,0.03321105990479677,0.9990592662276577
1312,1312,8559863,22.47,sp,44.443,0.985,38.881,43.625,,,0.04,0.058,,,,8559863.0,54953.8169,22.4743,D,12.723,5154,4.767,0.038,0.008,0.9058,,,0.06677,0.06985,0.00134,0.99778,0.0698628520746183,0.505591431721531
1324,1324,8580438,6.496,sp,7.581,1.245,7.55,7.736,,,0.128,0.097,,,,8580438.0,55000.94688,6.49531,D,14.502,5307,4.349,0.125,0.209,0.73373,,,0.13355,-0.04895,-0.38767,0.99383,0.3907481687737001,0.8568790397045245
1325,1325,8581658,3.482,sp,3.801,0.586,,,,,,,,,,8581658.0,55002.00084,3.48153,D,13.396,5970,4.197,0.132,0.06,0.65671,,,0.20408,0.02661,0.03061,0.99534,0.040559391021069334,0.9160747171796896
1329,1329,8590527,0.74,sp,0.736,0.898,0.737,0.738,0.74,0.741,0.166,0.08,0.183,0.056,,8590527.0,54996.03588,0.73971,D,11.634,6216,3.943,0.104,0.019,0.39985,,,0.45697,-0.05409,0.0005,0.98074,0.0540923109138443,1.0054347826086956
1331,1331,8604993,6.57,sp,6.457,1.242,6.44,6.57,,,0.185,0.12,,,,8604993.0,54967.02094,6.57065,D,15.299,5576,4.487,0.117,0.464,0.56745,,,0.07311,-0.21429,0.49226,0.99373,0.536879978859335,1.0175003871767074
1336,1336,8616873,0.576,sp,0.572,0.736,0.576,0.576,,,0.115,0.325,,,,8616873.0,55002.24811,0.57604,D,15.237,5486,4.707,0.109,0.456,0.73465,,,0.3947,0.13843,0.00048,0.99549,0.13843083218705288,1.006993006993007
1337,1337,8618226,5.882,sp,6.028,1.057,5.956,6.205,,,0.058,0.042,,,,8618226.0,55000.05702,5.87889,D,13.781,5796,4.34,0.108,0.029,0.50347,,,0.1128,-0.00321,0.04432,0.9944,0.044436094562866346,0.9757796947577969
1339,1339,8621026,4.059,sp,4.087,0.07,4.732,4.855,,,0.045,0.018,0.023,0.023,b,8621026.0,55002.71571,4.05927,D,13.374,6375,4.279,0.121,0.009,0.64848,,,0.20805,0.0297,0.0328,0.99431,0.04424850279952984,0.9931490090530953
1368,1368,8719897,3.151,sp,3.126,0.781,3.104,3.112,,,0.09,0.227,,,,8719897.0,54955.234,3.15138,D,12.392,4905,3.053,0.177,0.023,0.56883,,,0.27582,-0.11204,-0.0828,0.98472,0.13931547509160638,1.0079974408189378
1371,1371,8736245,5.069,sp,5.068,1.107,4.94,5.06,5.837,5.868,0.062,0.073,0.029,0.079,,8736245.0,54969.01788,5.07049,D,13.798,5594,4.564,0.08,0.071,0.7032,,,0.13366,-0.08577,-0.29373,0.98709,0.3059964146848783,1.000197316495659
1374,1374,8746310,6.856,sp,8.5,1.084,8.325,8.722,,,0.054,0.055,,,,8746310.0,54975.88079,6.87396,D,14.767,5848,4.478,0.127,0.477,0.79822,,,0.07681,-0.05413,0.43388,0.99492,0.43724353774527075,0.8065882352941176
1379,1379,8784288,3.655,sp,3.678,0.642,3.713,3.742,,,0.125,0.046,,,,8784288.0,54965.2669,3.65466,D,13.661,5712,3.872,0.181,0.083,0.80807,,,0.1738,0.03602,0.03323,0.9983,0.04900686992657254,0.9937466014138118
1391,1391,8848104,0.825,sp,0.817,1.223,0.823,0.826,,,0.145,0.128,,,,8848104.0,54972.04998,0.82481,D,12.372,5447,4.075,0.087,0.324,0.50667,,,0.4492,-0.01221,0.01562,0.96792,0.01982595521027928,1.0097919216646267
1392,1392,8848271,9.992,sp,13.977,0.872,13.575,14.377,14.79,15.733,0.069,0.04,0.021,0.025,,8848271.0,55000.42355,9.99125,D,14.039,5627,4.331,0.131,0.024,0.83644,,,0.07118,0.04384,-0.56142,0.9982,0.563129081117287,0.714888745796666
